status/scripts,REPORTID,USERID,REPORTTYPEID,ADDEDBY,HOSTID,LATITUDE,LONGITUDE,RADIUSIMPACT,DESCRIPTION,PRICE,REPORTSTATUSID,DATE,TIME,CREATEDTIME,LASTMODIFIEDTIME,ADDRESS,TOTALNUMBERINJURED,TOTALNUMBERKILLED,VEHICLETYPECODE
,,,,,,5210078.24383,-7911137.38307,,,,,2016-01-17,07:16:00,,,,,,
,,,,,,5216147.87054,-7911059.22481,,,,,2016-01-18,02:14:00,,,,,,
,,,,,,5205499.85151,-7918080.6188,,,,,2016-01-18,05:53:00,,,,,,
,,,,,,5204349.93012,-7916860.43402,,,,,2016-01-18,06:21:00,,,,,,
,,,,,,5211204.77632,-7913566.44304,,,,,2016-01-18,11:43:00,,,,,,
,,,,,,5211075.30698,-7914609.79795,,,,,2016-01-18,12:40:00,,,,,,
,,,,,,5209234.73316,-7910642.8889,,,,,2016-01-18,02:45:00,,,,,,
,,,,,,5213003.19793,-7908373.41612,,,,,2016-01-18,06:58:00,,,,,,
,,,,,,5202230.04795,-7909306.94382,,,,,2016-01-18,11:49:00,,,,,,
,,,,,,5214358.12462,-7912037.42921,,,,,2016-01-19,07:35:00,,,,,,
,,,,,,5208524.12446,-7913659.65779,,,,,2016-01-19,10:56:00,,,,,,
,,,,,,5202226.77821,-7915902.45201,,,,,2016-01-19,11:36:00,,,,,,
,,,,,,5214793.463,-7917140.17751,,,,,2016-01-19,01:18:00,,,,,,
,,,,,,5208421.75396,-7912902.68157,,,,,2016-01-19,04:12:00,,,,,,
,,,,,,5199837.04321,-7919761.09025,,,,,2016-01-19,04:34:00,,,,,,
,,,,,,5211116.89424,-7912868.84099,,,,,2016-01-19,06:35:00,,,,,,
,,,,,,5203032.85655,-7918704.06309,,,,,2016-01-19,07:04:00,,,,,,
,,,,,,5205553.11549,-7911144.11707,,,,,2016-01-19,08:43:00,,,,,,
,,,,,,5203570.92292,-7913848.90024,,,,,2016-01-20,08:37:00,,,,,,
,,,,,,5218140.93118,-7906590.84262,,,,,2016-01-20,10:19:00,,,,,,
,,,,,,5205017.51673,-7921767.17338,,,,,2016-01-20,12:11:00,,,,,,
,,,,,,5210331.91134,-7912894.60313,,,,,2016-01-20,12:26:00,,,,,,
,,,,,,5205258.08684,-7913459.97049,,,,,2016-01-20,09:44:00,,,,,,
,,,,,,5211450.80246,-7913841.68996,,,,,2016-01-20,10:38:00,,,,,,
,,,,,,5208627.64378,-7912867.5192,,,,,2016-01-21,08:24:00,,,,,,
,,,,,,5214793.463,-7917140.17751,,,,,2016-01-21,12:01:00,,,,,,
,,,,,,5212671.34991,-7919074.9239,,,,,2016-01-21,12:24:00,,,,,,
,,,,,,5219282.28553,-7904022.70345,,,,,2016-01-21,12:51:00,,,,,,
,,,,,,5216256.20199,-7910604.48545,,,,,2016-01-21,01:39:00,,,,,,
,,,,,,5205993.14184,-7910395.4964,,,,,2016-01-21,04:33:00,,,,,,
,,,,,,5209221.26427,-7910961.68307,,,,,2016-01-21,05:18:00,,,,,,
,,,,,,5213031.51444,-7910581.55355,,,,,2016-01-21,06:32:00,,,,,,
,,,,,,5207816.06395,-7912670.99337,,,,,2016-01-21,11:04:00,,,,,,
,,,,,,5211589.9022,-7914109.11271,,,,,2016-01-21,11:24:00,,,,,,
,,,,,,5213693.70481,-7910200.13171,,,,,2016-01-22,12:41:00,,,,,,
,,,,,,5212007.8171,-7912545.90015,,,,,2016-01-22,07:45:00,,,,,,
,,,,,,5212478.56165,-7909725.52282,,,,,2016-01-22,10:39:00,,,,,,
,,,,,,5203358.76613,-7912205.82142,,,,,2016-01-22,02:32:00,,,,,,
,,,,,,5199139.50234,-7918021.83886,,,,,2016-01-22,03:02:00,,,,,,
,,,,,,5205520.71822,-7909595.98291,,,,,2016-01-22,04:34:00,,,,,,
,,,,,,5213874.11212,-7913712.86584,,,,,2016-01-22,06:08:00,,,,,,
,,,,,,5211965.79684,-7910823.34182,,,,,2016-01-22,09:03:00,,,,,,
,,,,,,5217760.15581,-7912086.03832,,,,,2016-01-23,02:56:00,,,,,,
,,,,,,5217756.59189,-7908043.90613,,,,,2016-01-23,03:43:00,,,,,,
,,,,,,5204110.6938,-7920386.73248,,,,,2016-01-23,08:32:00,,,,,,
,,,,,,5205754.4666,-7912457.40404,,,,,2016-01-23,10:41:00,,,,,,
,,,,,,5210202.66783,-7912048.71536,,,,,2016-01-23,10:56:00,,,,,,
,,,,,,5216790.51831,-7907379.83915,,,,,2016-01-24,01:37:00,,,,,,
,,,,,,5210782.72385,-7909597.0831,,,,,2016-01-24,08:46:00,,,,,,
,,,,,,5212964.58271,-7908098.05104,,,,,2016-01-24,09:32:00,,,,,,
,,,,,,5216871.40654,-7911175.3323,,,,,2016-01-24,12:25:00,,,,,,
,,,,,,5216033.42727,-7910422.21942,,,,,2016-01-24,01:15:00,,,,,,
,,,,,,5203932.07632,-7914375.88427,,,,,2016-01-24,02:57:00,,,,,,
,,,,,,5205383.39814,-7912671.71793,,,,,2016-01-24,06:28:00,,,,,,
,,,,,,5207384.55346,-7910399.09903,,,,,2016-01-24,10:02:00,,,,,,
,,,,,,5206312.38342,-7913206.52261,,,,,2016-01-24,10:12:00,,,,,,
,,,,,,5202263.89154,-7916460.42308,,,,,2016-01-25,08:01:00,,,,,,
,,,,,,5216022.66641,-7911220.41894,,,,,2016-01-25,08:56:00,,,,,,
,,,,,,5204373.85412,-7922240.7199,,,,,2016-01-25,11:12:00,,,,,,
,,,,,,5214308.84373,-7916856.87117,,,,,2016-01-25,05:18:00,,,,,,
,,,,,,5209818.91338,-7913146.47203,,,,,2016-01-25,06:28:00,,,,,,
,,,,,,5211869.54582,-7909342.01562,,,,,2016-01-25,09:40:00,,,,,,
,,,,,,5215386.12377,-7909969.85253,,,,,2016-01-26,00:00:00,,,,,,
,,,,,,5216702.34418,-7910664.48696,,,,,2016-01-26,03:22:00,,,,,,
,,,,,,5211087.37895,-7920731.02175,,,,,2016-01-26,08:17:00,,,,,,
,,,,,,5211087.37895,-7920731.02175,,,,,2016-01-26,08:28:00,,,,,,
,,,,,,5206838.15195,-7912710.09961,,,,,2016-01-26,12:59:00,,,,,,
,,,,,,5201896.36285,-7911459.97977,,,,,2016-01-26,01:08:00,,,,,,
,,,,,,5210617.6663,-7912016.31832,,,,,2016-01-26,01:51:00,,,,,,
,,,,,,5206032.45067,-7909051.91031,,,,,2016-01-26,03:42:00,,,,,,
,,,,,,5214647.03447,-7919056.32358,,,,,2016-01-26,04:23:00,,,,,,
